year,category,level_of_education,sex,gross_enrolment_ratio
1990,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,MF,79.8
1990,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,M,81
1990,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,F,78.4
1990,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,MF,102.5
1990,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,M,103.6
1990,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,F,101.2
1990,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,MF,95.1
1990,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,M,93.4
1990,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,F,96.8
1990,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,MF,23.5
1990,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,M,26.4
1990,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,F,20.4
1991,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,MF,79.8
1991,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,M,81.1
1991,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,F,78.5
1991,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,MF,103.4
1991,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,M,104.7
1991,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,F,102
1991,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,MF,94.4
1991,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,M,92.8
1991,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,F,96.1
1991,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,MF,25.6
1991,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,M,28.5
1991,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,F,22.6
1992,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,MF,80.3
1992,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,M,81.7
1992,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,F,78.8
1992,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,MF,102.6
1992,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,M,103.6
1992,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,F,101.4
1992,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,MF,93.8
1992,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,M,92.7
1992,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,F,95
1992,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,MF,28.5
1992,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,M,31.5
1992,GROSS ENROLMENT RATIO,TERTIARY EDUCATION,F,25.2
1993,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,MF,82.5
1993,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,M,84.2
1993,COMBINED GROSS ENROLMENT RATIO,ALL LEVELS,F,80.7
1993,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,MF,105.4
1993,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,M,107
1993,GROSS ENROLMENT RATIO,PRIMARY EDUCATION,F,103.6
1993,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,MF,92.6
1993,GROSS ENROLMENT RATIO,SECONDARY EDUCATION,M,91.2
