year,level_1,value
1970,Literacy Rate (15 Years & Over) - Males,83
1970,Literacy Rate (15 Years & Over) - Females,54.3
1970,Combined Gross Enrolment Ratio - Males,68.5
1970,Combined Gross Enrolment Ratio - Females,62.6
1970,Resident Labour Force Participation Rate (15 Years & Over) - Males,81.2
1970,Resident Labour Force Participation Rate (15 Years & Over) - Females,28.2
1970,Proportion Of Employed Residents (15 Years & Over) - Males,76.5
1970,Proportion Of Employed Residents (15 Years & Over) - Females,23.5
1970,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Males",9
1970,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Females",14.6
1980,Literacy Rate (15 Years & Over) - Males,91.4
1980,Literacy Rate (15 Years & Over) - Females,73.1
1980,Combined Gross Enrolment Ratio - Males,67.6
1980,Combined Gross Enrolment Ratio - Females,65.9
1980,Resident Labour Force Participation Rate (15 Years & Over) - Males,80.8
1980,Resident Labour Force Participation Rate (15 Years & Over) - Females,43.8
1980,Proportion Of Employed Residents (15 Years & Over) - Males,65.4
1980,Proportion Of Employed Residents (15 Years & Over) - Females,34.6
1980,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Males",19.6
1980,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Females",14.3
1990,Literacy Rate (15 Years & Over) - Males,95.1
1990,Literacy Rate (15 Years & Over) - Females,83
1990,Combined Gross Enrolment Ratio - Males,81
1990,Combined Gross Enrolment Ratio - Females,78.4
1990,Resident Labour Force Participation Rate (15 Years & Over) - Males,77.5
1990,Resident Labour Force Participation Rate (15 Years & Over) - Females,48.8
1990,Proportion Of Employed Residents (15 Years & Over) - Males,61.5
1990,Proportion Of Employed Residents (15 Years & Over) - Females,38.5
1990,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Males",29.6
1990,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Females",23.8
1995,Literacy Rate (15 Years & Over) - Males,95.8
1995,Literacy Rate (15 Years & Over) - Females,85.8
1995,Combined Gross Enrolment Ratio - Males,86.9
1995,Combined Gross Enrolment Ratio - Females,83.5
1995,Resident Labour Force Participation Rate (15 Years & Over) - Males,77.2
1995,Resident Labour Force Participation Rate (15 Years & Over) - Females,46.8
1995,Proportion Of Employed Residents (15 Years & Over) - Males,62.1
1995,Proportion Of Employed Residents (15 Years & Over) - Females,37.9
1995,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Males",38.5
1995,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Females",32.1
2000,Literacy Rate (15 Years & Over) - Males,96.6
2000,Literacy Rate (15 Years & Over) - Females,88.6
2000,Combined Gross Enrolment Ratio - Males,89.1
2000,Combined Gross Enrolment Ratio - Females,85.8
2000,Resident Labour Force Participation Rate (15 Years & Over) - Males,76.6
2000,Resident Labour Force Participation Rate (15 Years & Over) - Females,50.2
2000,Proportion Of Employed Residents (15 Years & Over) - Males,60
2000,Proportion Of Employed Residents (15 Years & Over) - Females,40
2000,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Males",45.4
2000,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Females",41.7
2001,Literacy Rate (15 Years & Over) - Males,96.7
2001,Literacy Rate (15 Years & Over) - Females,89.2
2001,Combined Gross Enrolment Ratio - Males,88.4
2001,Combined Gross Enrolment Ratio - Females,85.5
2001,Resident Labour Force Participation Rate (15 Years & Over) - Males,77.7
2001,Resident Labour Force Participation Rate (15 Years & Over) - Females,51.6
2001,Proportion Of Employed Residents (15 Years & Over) - Males,59.3
2001,Proportion Of Employed Residents (15 Years & Over) - Females,40.7
2001,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Males",46.6
2001,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Females",40.9
2002,Literacy Rate (15 Years & Over) - Males,96.8
2002,Literacy Rate (15 Years & Over) - Females,89.7
2002,Combined Gross Enrolment Ratio - Males,88.8
2002,Combined Gross Enrolment Ratio - Females,85.8
2002,Resident Labour Force Participation Rate (15 Years & Over) - Males,77.2
2002,Resident Labour Force Participation Rate (15 Years & Over) - Females,50.6
2002,Proportion Of Employed Residents (15 Years & Over) - Males,59.6
2002,Proportion Of Employed Residents (15 Years & Over) - Females,40.4
2002,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Males",46.4
2002,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Females",42
2003,Literacy Rate (15 Years & Over) - Males,97
2003,Literacy Rate (15 Years & Over) - Females,90.2
2003,Combined Gross Enrolment Ratio - Males,89.8
2003,Combined Gross Enrolment Ratio - Females,87.1
2003,Resident Labour Force Participation Rate (15 Years & Over) - Males,76.1
2003,Resident Labour Force Participation Rate (15 Years & Over) - Females,50.9
2003,Proportion Of Employed Residents (15 Years & Over) - Males,59.1
2003,Proportion Of Employed Residents (15 Years & Over) - Females,40.9
2003,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Males",47.1
2003,"Proportion Of Professionals, Managers, Executives & Technicians Among Employed Residents (15 Years & Over) - Females",43
