year,sex,highest_qualification,age,outside_labour_force
2010,males,primary and below,15-19,4900
2010,males,primary and below,20-24,600
2010,males,primary and below,25-29,400
2010,males,primary and below,30-34,700
2010,males,primary and below,35-39,700
2010,males,primary and below,40-44,1600
2010,males,primary and below,45-49,1700
2010,males,primary and below,50-54,3900
2010,males,primary and below,55-59,6400
2010,males,primary and below,60-64,12000
2010,males,primary and below,65-69,15100
2010,males,primary and below,70 and over,51500
2010,males,lower secondary,15-19,43900
2010,males,lower secondary,20-24,400
2010,males,lower secondary,25-29,200
2010,males,lower secondary,30-34,-
2010,males,lower secondary,35-39,100
2010,males,lower secondary,40-44,500
2010,males,lower secondary,45-49,900
2010,males,lower secondary,50-54,1600
2010,males,lower secondary,55-59,3300
2010,males,lower secondary,60-64,5200
2010,males,lower secondary,65-69,4000
2010,males,lower secondary,70 and over,7900
2010,males,secondary,15-19,59200
2010,males,secondary,20-24,9300
2010,males,secondary,25-29,800
2010,males,secondary,30-34,300
2010,males,secondary,35-39,800
2010,males,secondary,40-44,700
2010,males,secondary,45-49,1200
2010,males,secondary,50-54,2500
2010,males,secondary,55-59,3900
2010,males,secondary,60-64,5500
2010,males,secondary,65-69,5900
2010,males,secondary,70 and over,11100
2010,males,post-secondary (non-tertiary),15-19,4000
2010,males,post-secondary (non-tertiary),20-24,20300
2010,males,post-secondary (non-tertiary),25-29,1700
2010,males,post-secondary (non-tertiary),30-34,400
2010,males,post-secondary (non-tertiary),35-39,400
2010,males,post-secondary (non-tertiary),40-44,400
2010,males,post-secondary (non-tertiary),45-49,700
2010,males,post-secondary (non-tertiary),50-54,900
2010,males,post-secondary (non-tertiary),55-59,1800
2010,males,post-secondary (non-tertiary),60-64,2400
2010,males,post-secondary (non-tertiary),65-69,2600
2010,males,post-secondary (non-tertiary),70 and over,3300
2010,males,diploma and professional qualification,15-19,1800
2010,males,diploma and professional qualification,20-24,10200
2010,males,diploma and professional qualification,25-29,2900
2010,males,diploma and professional qualification,30-34,700
2010,males,diploma and professional qualification,35-39,400
2010,males,diploma and professional qualification,40-44,500
2010,males,diploma and professional qualification,45-49,500
2010,males,diploma and professional qualification,50-54,800
2010,males,diploma and professional qualification,55-59,1800
2010,males,diploma and professional qualification,60-64,2400
2010,males,diploma and professional qualification,65-69,1900
