isbn10,isbn13,title,author,rank,weeks_on_list,amazon_url,listname,description,listpublisheddate
0316037915,9780316037914,TICK TOCK,James Patterson and Michael Ledwidge,1,1,http://www.amazon.com/Tick-Tock-Michael-Bennett-Book-ebook/dp/B0047Y16MG?tag=NYTBS-20,combined-print-and-e-book-fiction,The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-02-13
0307272117,9780307272119,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,2,1,http://www.amazon.com/Girl-Dragon-Tattoo-Stieg-Larsson/dp/0307269752?tag=NYTBS-20,combined-print-and-e-book-fiction,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,2011-02-13
0307272303,9780307272300,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,3,1,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20,combined-print-and-e-book-fiction,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-02-13
0307593673,9780307593672,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,4,1,http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,combined-print-and-e-book-fiction,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-02-13
1565125851,9781565125858,WATER FOR ELEPHANTS,Sara Gruen,5,1,http://www.amazon.com/Water-Elephants-Sara-Gruen/dp/1616200715?tag=NYTBS-20,combined-print-and-e-book-fiction,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-02-13
0385534132,9780385534130,THE CONFESSION,John Grisham,6,1,http://www.amazon.com/The-Confession-Novel-John-Grisham/dp/0385528043?tag=NYTBS-20,combined-print-and-e-book-fiction,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",2011-02-13
030727134X,9780307271341,CUTTING FOR STONE,Abraham Verghese,7,1,http://www.amazon.com/Cutting-Stone-novel-Abraham-Verghese/dp/0375414495?tag=NYTBS-20,combined-print-and-e-book-fiction,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-02-13
0778329259,9780778329251,MARRYING DAISY BELLAMY,Susan Wiggs,8,1,http://www.amazon.com/Marrying-Daisy-Bellamy-Lakeshore-Chronicles/dp/0778329259?tag=NYTBS-20,combined-print-and-e-book-fiction,"A woman struggles for years to choose between two men. And then, one fateful day, the decision is made for her.",2011-02-13
1440697663,9781440697661,THE HELP,Kathryn Stockett,9,1,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,combined-print-and-e-book-fiction,A young white woman and two black maids in 1960s Mississippi.,2011-02-13
0446577898,9780446577892,THE INNER CIRCLE,Brad Meltzer,10,1,http://www.amazon.com/The-Inner-Circle-Brad-Meltzer-ebook/dp/B0047Y174I?tag=NYTBS-20,combined-print-and-e-book-fiction,An archivist discovers a book that once belonged to George Washington and conceals a deadly secret.,2011-02-13
