isbn10,isbn13,title,author,rank,weeks_on_list,amazon_url,listname,description,listpublisheddate
0679603751,9780679603757,UNBROKEN,Laura Hillenbrand,1,1,http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=NYTBS-20,combined-print-and-e-book-nonfiction,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,2011-02-13
0849946158,9780849946158,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,2,1,http://www.amazon.com/Heaven-Real-Little-Astounding-Story-ebook/dp/B004A90BXS?tag=NYTBS-20,combined-print-and-e-book-nonfiction,A father recounts his 3-year-old son’s encounter with Jesus and the angels during an emergency appendectomy.,2011-02-13
1594202842,9781594202841,BATTLE HYMN OF THE TIGER MOTHER,Amy Chua,3,1,http://www.amazon.com/Battle-Hymn-Tiger-Mother-Chua/dp/1594202842?tag=NYTBS-20,combined-print-and-e-book-nonfiction,A Chinese-American mother makes a case for strict and demanding parenting.,2011-02-13
0307590615,9780307590619,DECISION POINTS,George W Bush,4,1,http://www.amazon.com/Decision-Points-George-W-Bush/dp/0307590615?tag=NYTBS-20,combined-print-and-e-book-nonfiction,"The former president’s memoir discusses his Christianity and the end of his drinking; his relationships with members of his family; and critical White House decisions on 9/11, Iraq and Katrina.",2011-02-13
0307265633,9780307265630,THE HIDDEN REALITY,Brian Greene,5,1,http://www.amazon.com/The-Hidden-Reality-Parallel-Universes/dp/0307265633?tag=NYTBS-20,combined-print-and-e-book-nonfiction,A physicist explains various theories involving the existence of parallel universes.,2011-02-13
0316001929,9780316001922,CLEOPATRA,Stacy Schiff,6,1,http://www.amazon.com/Cleopatra-A-Life-Stacy-Schiff/dp/0316001929?tag=NYTBS-20,combined-print-and-e-book-nonfiction,"This biography portrays the Macedonian-Egyptian queen in all her ambition, audacity and formidable intelligence.",2011-02-13
0385532946,9780385532945,THE NEXT DECADE,George Friedman,7,1,http://www.amazon.com/The-Next-Decade-Where-Going/dp/0385532946?tag=NYTBS-20,combined-print-and-e-book-nonfiction,"The geopolitical forecaster who wrote ""The Next 100 Years"" details the enormous transition he expects over the coming 10.",2011-02-13
1400052173,9781400052172,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,8,1,http://www.amazon.com/The-Immortal-Life-Henrietta-Lacks/dp/1400052181?tag=NYTBS-20,combined-print-and-e-book-nonfiction,The story of a woman whose cancer cells were extensively cultured without her permission in 1951.,2011-02-13
1416583432,9781416583431,INSIDE OF A DOG,Alexandra Horowitz,9,1,http://www.amazon.com/Inside-Dog-What-Dogs-Smell/dp/1416583432?tag=NYTBS-20,combined-print-and-e-book-nonfiction,What the world is like from a dog’s point of view.,2011-02-13
0520267192,9780520267190,"AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1",Mark Twain,10,1,http://www.amazon.com/Autobiography-Mark-Twain-Volume-Authoritative/dp/0520267192?tag=NYTBS-20,combined-print-and-e-book-nonfiction,"In his autobiography, published unexpurgated for the first time, Twain is pointedly political and willing to play the angry prophet.",2011-02-13
